objectid,id,kind,location,creator,title,date,publisher,volume,record company,medium,description,ISBN-10,ISBN-13,OCLC,language,resources,related materials,media,format,filename,source,youtubeid
128,125,book,A2," Hartman, Saidiya"," Wayward Lives, Beautiful Experiments: Intimate Histories of Social Upheaval",2019,New York: W. W. Norton & Company,,,,African American Studies Women's Studies,ISBN-10: 0393285677,ISBN-13: 9780393285673,,,,,,image/jpeg,,,
129,126,book,E2," Borysevicz, Mathieu, ed."," The Book about Xu Bing's Book From the
Ground",2014," North Adams: Massachusetts Museum
of Contemporary Art; Cambridge: The MIT Press",,,,Artist monograph,ISBN-10: 0262027429,ISBN-13: 9780262027427,,,,,,image/jpeg,,,
130,127,book,A2," Gainer, Nichelle",Vintage Black Glamour,2014,London: Rocket 88,,,," Photography
Fashion",ISBN-10: 1906615896,ISBN-13: 9781906615895,,,,,,image/jpeg,,,
131,128,book,A2," Frazier, LaToya Ruby, Karsten Lund, and Solvieg Øvstebø, eds.",LaToya Ruby Frazier: The Last Cruze,2020,Chicago: The Renaissance Society at the University of Chicago,,,,Artist monograph Exhibition catalogue Photography,ISBN-10: 0941548791,ISBN-13: 9780941548793,,,https://renaissancesociety. org/exhibitions/536/latoya-ruby-frazier- the-last-cruze/,,,image/jpeg,,,
132,129,book,E2,Teri Greeves and Jill Ahlberg Yohe,Hearts of Our People: Native Women Artists,2019," Minneapolis: Minneapolis Institute of
Art; Seattle: University of Washington Press",,,," Exhibitionc catalogue
Women artists Native American art",ISBN-10: 0295745797,ISBN-13: 9780295745794,,," https://new.artsmia.org/hearts-of-our-
people-native-women-artists/ https://americanart.si. edu/exhibitions/native-women-artists",,,image/jpeg,,,
133,130,book,A2," Perry, Imani",Breathe: A Letter to My Sons,2019,Boston: Beacon Press,,,,African American Studies,ISBN-10: 0807076554,ISBN-13: 9780807076552,,,,,,image/jpeg,,,
134,131,book,A3,Maripol and Marc Jacobs,Maripol: Little Red Riding Hood,2010,Bologna: Damiani,,,," Fashion
Photography",ISBN-10: 8862081367,ISBN-13: 9788862081368,,,,,,image/jpeg,,,
135,132,book,E1," Keith,  Naima J. and Zoé Whitley",The Shadows Took Shape,2013,New York: Studio Museum in Harlem,,,,Exhibition catalogue Afrofuturism,ISBN-10: 0942949374,ISBN-13: 9780942949377,,,https://studiomuseum. org/exhibition/shadows-took-shape,,,image/jpeg,,,
136,133,book,A2," Perry, Imani",Vexy Thing: On Gender and Liberation,2018,Durham: Duke University Press,,,," African American Studies
Black Feminist Theory",ISBN-10: 1478000813,ISBN-13: 9781478000815,,,,,,image/jpeg,,,
137,134,book,A2," Moorhouse, Paul"," Bridget Riley: A Very, Very Person: The Early
Years",2019,London: Ridinghouse,,,," Artist biography
Women artists",ISBN-10: 1909932507,ISBN-13: 9781909932500,,,,,,image/jpeg,,,
138,135,book,A2," Croquer, Luis A., Jennifer Wulffson Bedford, and Jennie C. Jones",Louise Nevelson: I Must Recompose the Environment,2018,Los Angeles: Inventory Press,,,,Artist monograph,ISBN-10: 194175323X,ISBN-13: 9781941753231,,,,,,image/jpeg,,,
139,136,book,A3," Reynolds, Gary A. and Beryl J.
Wright"," Against the Odds: African American Artists and
the Harmon Foundation",1989,Newark: Newark Museum,,,," African American Art History
Exhibition catalogue",ISBN-10: 0932828213,ISBN-13: 9780932828217,,,,,,image/jpeg,,,
140,137,book,A3," Kolfin, Elmer and Epco Runia, eds.",Black in Rembrandt's Time,2020,Zwolle: WBOOKS,,,,Exhibition catalogue,ISBN-10: 9462583722,ISBN-13: 9789462583726,,,,,,image/jpeg,,,
141,138,book,A3," Corn, Wanda M.",Georgia O'Keeffe: Living Modern,2017,Brooklyn: Brooklyn Museum; Munich; New York: DelMonico Books/Prestel,,,," Artist monograph Exhibition catalogue
Women artists",ISBN-10: 0872731820,ISBN-13: 9780872731820,,," https://www.brooklynmuseum. org/exhibitions/georgia_okeeffe_living_
modern",,,image/jpeg,,,
142,139,book,A3," Berry, Ian, Darby English, Vivian Patterson, and Mark Reinhardt, eds.",Kara Walker: Narratives of a Negress,2003," Saratoga Springs: Frances Young Tang Teaching Museum and Art Gallery at Skidmore College; Williamstown: Williams College Museum of Art;
Cambridge: MIT Press",,,,Artist monograph Exhibition catalogue Women artists,ISBN-10: 026202540X,ISBN-13: 9780262025409,,,https://tang.skidmore. edu/exhibitions/179-kara-walker- narratives-of-a-negress,,,image/jpeg,,,
143,140,book,A3," Forrer, Matthi",Hokusai,2002,New York: Barnes & Noble,,,,Artist monograph Printmaking Asian art,ISBN-10: 0760735352,ISBN-13: 9780760735350,,,,,,image/jpeg,,,
144,141,book,A3," Scarlata, Jessica, ed.",Norman Lewis : Pulse,2009,New York: Michael Rosenfeld Gallery,,,," Artist monograph
Exhibition catalogue Painting",ISBN-10: 1930416474,ISBN-13: 9781930416475,,," https://www.michaelrosenfeldart.
com/exhibitions/norman-lewis-pulse-a- centennial-exhibition",,,image/jpeg,,,
145,142,book,A3," Rajaratnam, Sukanya",Alma Thomas: Resurrection,2019,New York: Mnuchin Gallery,,,," Artist monograph Exhibition catalogue Painting
Women artists",ISBN-10: 1734105909,ISBN-13: 9781734105902,,,https://www.mnuchingallery. com/exhibitions/alma-thomas#tab: slideshow;tab-1:slideshow,,,image/jpeg,,,
146,143,book,A2," Rosen, Barry, ed. with assistance of Tamara Bloomberg",Eva Hesse: Diaries,2016,New Haven: Yale University Press; Hauser & Wirth Publishers,,,,Artist biography Women artists,ISBN-10: 3906915581,ISBN-13: 9783906915586,,,,,,image/jpeg,,,
147,144,book,A2," Roselione-Valadez, Juan, ed.",30 Americans: Rubell Family Collection,2013,3rd ed. Miami: Rubell Family Collection,,,,Exhibition catalogue,ISBN-10: 0982119593,ISBN-13: 9780982119594,,,https://rubellmuseum.org/30-americans,,,image/jpeg,,,
148,145,book,A3," Barnes, Susan J.",The Rothko Chapel: An Act of Faith,1996,2nd ed. Houston: The Rothko Chapel,,,,Artist monograph Painting,ISBN-10: 0945472021,ISBN-13: 9780945472025,,,https://www.rothkochapel.org/,,,image/jpeg,,,
149,146,book,A3," Imes, Birney",Juke Joint: Photographs,1990,Jackson: University Press of Mississippi,,,,Photography,ISBN-10: 0878054375,ISBN-13: 9780878054374,,,,,,image/jpeg,,,
150,147,book,A3," Scarlata, Jessica, ed.",Charles White: Let the Light Enter,2009,New York: Michael Rosenfeld Gallery,,,,Artist monograph Exhibition catalogue,ISBN-10: 1930416466,ISBN-13: 9781930416468,,,https://www.michaelrosenfeldart. com/exhibitions/charles-white-let-the- light-enter-major-drawings-1942-1970,,,image/jpeg,,,
151,148,book,A3," Ligon, Glenn",Blue Black,2017,St. Louis: Pulitzer Arts Foundation,,,,Exhibition catalogue,ISBN-10: 0997690143,ISBN-13: 9780997690149,,," https://pulitzerarts.org/art/blue-black-
curated-by-glenn-ligon/",,,image/jpeg,,,
152,149,book,A3," Shiff, Richard","More Dimensions Than You Know: Jack Whitten, Paintings 1979-1989",2017,London: Hauser & Wirth Publishers,,,,Artist monograph Exhibition catalogue Painting,ISBN-10: 3906915069,ISBN-13: 9783906915067,,,"https://www.hauserwirth.com/hauser- wirth-exhibitions/5876-more- dimensions-than-you-know-jack-
whitten-1979-1989/",,,image/jpeg,,,
153,150,book,A3," Schimmel, Paul","Philip Guston: Painter, 1957-1967",2016,New York: Hauser & Wirth Publishers,,,,Artist monograph Exhibition catalogue Painting,ISBN-10: 3952446122,ISBN-13: 9783952446126,,,https://www.hauserwirth.com/hauser- wirth-exhibitions/5574-philip-guston- painter-1957-1967/,,,image/jpeg,,,
154,151,book,A3," Sussman, Elisabeth"," Gordon Matta Clark: ""You Are The Measure""",2007,New Haven: Yale University Press,,,," Artist monograph
Exhibition catalogue",ISBN-10: 0300123957,ISBN-13: 9780300123951,,," https://whitney.org/exhibitions/gordon-
matta-clark",,,image/jpeg,,,
155,152,book,A3," Canedy, Dana, Darcy Eveleigh, Damien Cave, and Rachel L. Swarns",Unseen: Unpublished Black History from the New York Times Photo Archives,2017,New York: Black Dog & Leventhal Publishers,,,,Photography,ISBN-10: 0316552968,ISBN-13: 9780316552967,,,,,,image/jpeg,,,
156,153,book,A3," Reilly, F. Kent and Eric D. Singleton,
eds."," Rediscovering Ancient Spiro: Native American
Art, Ritual, and Cosmic Renewal",2020," Oklahoma: National Cowboy and
Western Heritage Museum",,,," Exhibition catalogue
Native American art",ISBN-10: 1733435506,ISBN-13: 9781733435505,,,https://spiromounds.com/,,,image/jpeg,,,
157,154,book,A3," Baumgarten, Linda and Kimberly Smith Ivey",Four Centries of Quilts: The Colonial Williamsburg Collection,2014," Williamsburg: Colonial Williamsburg Foundation ; New Haven: Yale
University Press",,,,Craft Quits,ISBN-10: 0300207360,ISBN-13: 9780300207361,,,,,,image/jpeg,,,
158,155,book,A3," Stanislaus, Grace",Contemporary African Artists: Changing Tradition,1990,New York: Studio Museum in Harlem,,,,Exhibition catalogue African art,ISBN-10: 094294903X,ISBN-13: 9780942949032,,,,,,image/jpeg,,,
159,156,book,A3," Celestan, Karen and Eric Waters"," Freedom's Dance: Social, Aid and Pleasure Clubs in New Orleans",2018,Baton Rouge: Louisiana State University Press,,,," African American History Photography
Performing Arts",ISBN-10: 0807168831,ISBN-13: 9780807168837,,,,,,image/jpeg,,,
160,157,book,E2," McCollum, Michael",The Wat We Wore: Black Style Then,2006,New York: Glitterati Incorporated,,,," African American History Photography
Fashion",ISBN-10: 0989170446,ISBN-13: 9780989170444,,,,,,image/jpeg,,,
161,158,book,A3," Hockley, Rujeko and Catherine",We Wanted a Revolution: Black Radical,2017,Brooklyn: Brooklyn Museum of Art;,,,,Exhibition catalogue,,ISBN-13: 9780872731837,,,https://www.brooklynmuseum.org/exhibitions/we_wanted_a_revolution/,,,image/jpeg,,,
162,,book,," Morris, eds.","Women, 1965-85: A Source Book",,Durham: Duke University Press,,,,Anthology,ISBN-10: 0872731839,,,,,,,image/jpeg,,,
