objectid,id,kind,location,creator,title,date,publisher,volume,record company,medium,description,ISBN-10,ISBN-13,OCLC,language,resources,related materials,media,format,filename,source,youtubeid
0,1,book,E1," Wardlaw, Alvia J.",Charles Alston,2007,San Francisco: Pomegranate,,,,"Artist monograph David C. Driskell Series of African American Art, vol. 6",ISBN-10: 0764937669,ISBN-13: 9780764937668,,,,,,image/jpeg,,,
1,2,book,A1," Helfenstein, Josef and Roxanne Stanulis, eds."," Bill Traylor, William Edmondson and the Modernist Impulse",2004," Champaign: Krannert Art Museum and Kinkead Pavilion; University of Illinois, Urbana-Champaign",,,,Exhibition catalogue,ISBN-10: 1883015359,ISBN-13: 9781883015350,,,https://kam.illinois.edu/exhibition/bill- traylor-william-edmondson-and- modernist-impulse,,,image/jpeg,,,
2,3,book,E1,,A Selection of Japanese Art from The Mary and Jackson Burke Collection,1985,Tokyo: Tokyo National Museum,,,,Japanese art Asian art Exhibition catalogue,,,,,,,,image/jpeg,,,
3,4,book,E1," Cole, Herbert M.",Icons: Ideals and Power in the Art of Africa,1989," Washington, DC: Smithsonian Institution Press",,,,African art,ISBN-10: 0874743214,ISBN-13: 9780874743210,,,,,,image/jpeg,,,
4,5,book,E1," Golden, Thelma",Bob Thompson,1998,New York: Whitney Museum of American Art,,,,Artist monograph Exhibition catalogue,ISBN-10: 0520212606,ISBN-13: 9780520212602,,,,,,image/jpeg,,,
5,6,book,E1," Hunter, Sam and John Jacobus"," Modern Art: Paintings, Sculpture, Architecture",1985,"2nd ed. Englewood Cliffs: Prentice-Hall; New York: Harry N. Abrams, Inc.",,,,Textbook,ISBN-10: 0810913496,ISBN-13: 9780810913493,,,,,,image/jpeg,,,
6,7,book,E1," Tsai, Eugenie, ed.",Kehinde Wiley: A New Republic,2015,Brooklyn: Brooklyn Museum; Munich: DelMonico Books/Prestel,,,,Artist monograph Exhibition catalogue,ISBN-10: 3791354302,ISBN-13: 9783791354309,,,https://www.brooklynmuseum.org/exhibitions/kehinde_wiley_new_republic/,,,image/jpeg,,,
7,8,book,E1," Bell, W. Kamau and Kate Schatz",Do the Work! An Antiracist Activity Book,2022,New York: Workman Publishing,,,,Activity Book,ISBN-10: 1523514280,ISBN-13: 9781523514281,,,,,,image/jpeg,,,
8,9,book,A1," Pascale, Mark",Martin Puryear: Multiple Dimensions,2015,Chicago: Art Institute of Chicago,,,,Artist monograph Exhibition catalogue,ISBN-10: 0300184549,ISBN-13: 9780300184549,,,https://www.artic.edu/exhibitions/1280/martin-puryear-multiple-dimensions,,,image/jpeg,,,
9,10,book,E1," Poniatowska, Elena",Mexican Color,1998," New York: Stewart, Tabori & Chang",,,,Photographs by Amanda Holmes Photography,ISBN-10: 1556708351,ISBN-13: 9789687294056,,,,,,image/jpeg,,,
10,11,book,E2," Schoonmaker, Trevor, ed.",Barkley L. Hendricks: Birth of the Cool,2008,Durham: Nasher Museum of Art,,,,Artist monograph Exhibition catalogue,ISBN-10: 0938989448,ISBN-13: 9780938989448,,,https://nasher.duke.edu/exhibitions/barkley-l-hendricks-birth-cool/,,,image/jpeg,,,
11,12,book,E1," Siegel, Katy","Odyssey: Jack Whitten Sculpture, 1963-2017",2018,Baltimore: Baltimore Museum of Art; Gregory R. Miller & Co.,,,,Artist monograph Exhibition catalogue Sculpture,ISBN-10: 1941366171,ISBN-13: 9781941366172,,,https://www.metmuseum.org/exhibitions/listings/2018/odyssey-jack-whitten-sculpture,,,image/jpeg,,,
12,13,book,E1," Hall, Jane",Breaking Ground: Architecture by Women,2019,New York; London: Phaidon,,,,Architecture,ISBN-10: 0714879274,ISBN-13: 9780714879277,,,,,,image/jpeg,,,
13,14,book,E1," Elderfield, John",Martin Puryear,2007,New York: Museum of Modern Art,,,,Artist monograph Exhibition catalogue,ISBN-10: 0870707140,ISBN-13: 9780870707148,,,https://www.moma.org/calendar/exhibitions/28,,,image/jpeg,,,
14,15,book,E1," Lewis, Audrey, ed.",Horace Pippin: The Way I See It,2015,Chadds Ford: Brandywine Museum of Art; New York Scala Arts Publisher,,,,Artist monograph Exhibition catalogue,ISBN-10: 1857599411,ISBN-13: 9781857599411,,,https://www.brandywine.org/museum/exhibitions/horace-pippin-way-i-see-it,,,image/jpeg,,,
15,16,book,E1,ADD AUTHOR,Ellen Gallagher: AxMe,2013,London: Tate Publishing,,,,Artist monograph Exhibition catalogue,ISBN-10: 184976123X,ISBN-13: 9781849761239,,,https://www.tate.org.uk/whats-on/tate-modern/ellen-gallagher-axme,,,image/jpeg,,,
16,17,book,E1," Dixon, Annette",Kara Walker: Pictures from Another Time,2002,Ann Arbor: University of Michigan Museum of Art,,,,Artist monograph Exhibition catalogue Walker's first major publication,ISBN-10: 1891024507,ISBN-13: 9781891024504,,,,,,image/jpeg,,,
17,18,book,E1," Schimmel, Paul and Jenni Sorkin, eds.","Revolution in the Making: Abstract Sculpture by Women, 1947-2016",2016,Milan: Skira; New York: Hauser & Wirth,,,,Exhibition catalogue,ISBN-10: 8857230651,ISBN-13: 9788857230658,,,https://www.hauserwirth.com/hauser-wirth-exhibitions/5564-revolution-in-the-makingabstract-sculpture-by-women-1947-2016/,,,image/jpeg,,,
18,19,book,E1," McGrew, Rebecca and Irene Tsatsos, eds.",Alison Saar: Of Aether and Earthe,2020,Claremont: Benton Museum of Art at Pomona College,,,,Artist monograph Exhibition catalogue,ISBN-10: 0997930632,ISBN-13: 9780997930634,,,https://www.pomona.edu/museum/exhibitions/2020/alison-saar#%3A~%3Atext%3DHighlighting%20the%20dualities%20that%20are%2Cemphasizes%20this%20idea%20of%20dualities,,,image/jpeg,,,
19,20,book,E1," Barboza, Anthony, Herb Robinson, and Vincent Alabiso, eds.",Timeless: Photographs by Kamoinge,2015," Atglen: Schiffer Publishing, Ltd.",,,,Artist monograph Photography,ISBN-10: 0764349740,ISBN-13: 9780764349744,,,,,,image/jpeg,,,
20,21,book,E1," Elderton, Louisa and Rebecca Morrill, eds.",Vitamin C: Clay + Ceramic in Contemporary Art,2017,London: Phaidon Press Limited,,,,Ceramics,ISBN-10: 1838662936,ISBN-13: 9781838662936,,,,,,image/jpeg,,,
21,22,book,E1," Wilkes Tucker, Anne, Kokusai Koryu Kikin, Kotaro Iizawa, and Naoyuki Kinoshita, eds.",The History of Japanese Photography,2003,New Haven: Yale University Press; Houston: Museum of Fine Arts Houston,,,,Photography Edited and translated by John Junkerman,ISBN-10: 0890901120,ISBN-13: 9780890901120,,,,,,image/jpeg,,,
22,23,book,E1," Adler, Tracy L., ed.",Elias Sime: Tightrope,2019," Clinton:  Ruth and Elmer Wellin Museum of Art, Hamilton College; Munich: Prestel Books",,,,Artist monograph Exhibition catalogue,ISBN-10: 3791358812,ISBN-13: 9783791358819,,,https://www.hamilton.edu/wellin/exhibitions/detail/elias-sime-tightrope,,,image/jpeg,,,
23,24,book,A3," Schenkenberg, Tamara H., ed.",Ruth Asawa: Life's Work,2019,St. Louis: Pulitzer Arts Foundation; New Haven: Yale University Press,,,,Artist monograph Exhibition catalogue,ISBN-10: 0300242697,ISBN-13: 9780300242690,,,https://pulitzerarts.org/art/ruth-asawa/,,,image/jpeg,,,
24,25,book,E2," Warren, Erica, ed.",Bisa Butler: Portraits,2020,Chicago: Art Institute of Chicago,,,,Artist monograph Exhibition catalogue Butler's first solo museum exhibition and monograph,ISBN-10: 0300254318,ISBN-13: 9780300254310,,,https://www.artic.edu/exhibitions/9324/bisa-butler-portraits,,,image/jpeg,,,
25,26,book,E1," Mayer, Musa",Resilience: Philip Guston in 1971,2019,Zurich: Hauser & Wirth Publishers,,,,Artist monograph Exhibition catalogue,ISBN-10: 3906915476,ISBN-13: 9783906915470,,,https://www.hauserwirth.com/hauser-wirth-exhibitions/25268-resilience-philip-guston-1971/,,,image/jpeg,,,
26,27,book,E3," Finley, Cheryl",Committed to Memory: The Art of the Slave Ship Icon,2018,Princeton: Princeton University Press,,,," Scholarly monograph Art history African American history Transatlantic slavery African Diaspora Included in Alma Lewis exhib. ""Abdul Aziz, Reclaiming Echoes""",ISBN-10: 0691241066,ISBN-13: 9780691241067,,,https://press.princeton.edu/books/hardcover/9780691136844/committed-to-memory,,Alma Lewis website Publisher website,image/jpeg,,,
27,28,book,E1," Llorens, Tomás, Abigail McEwen, and Frederic Tuten",The Worlds of of Joaquín Torres-García,2018,New York: Acquavella Galleries,,,,Artist monograph Exhibition catalogue,ISBN-10: 0847864022,ISBN-13: 9780847864027,,,https://www.acquavellagalleries.com/exhibitions/the-worlds-of-joaquin-torres-garcia,,,image/jpeg,,,
28,29,book,E1," Kamin Rapaport, Brooke, ed.",Martin Puryear: Liberty/Libertà,2019,New York:  Gregory R. Miller & Company,,,,Artist monograph Exhibition catalogue,ISBN-10: 3775746218,ISBN-13: 9783775746212,,,https://madisonsquarepark.org/art/exhibitions/martin-puryear-liberty-liberta/,,,image/jpeg,,,
29,30,book,E1," Haldemann, Anita, ed.",Kara Walker: A Black Hole is Everything a Star Longs to Be: Drawings 1992-2020,2020,Geneva: JRP Editions,,,,Artist monograph Exhibition catalogue,ISBN-10: 3037645571,ISBN-13: 9783037645574,,,https://kunstmuseumbasel.ch/en/exhibitions/2021/kara-walker,,,image/jpeg,,,
30,31,book,E1," Martin, Lesley A., ed.",LaToya Ruby Frazier: The Notion of Family,2016,New York: Aperture Foundation,,,,Artist monograph Photography,ISBN-10: 1597113816,ISBN-13: 9781597113816,,,,,,image/jpeg,,,
31,32,book,E2," Willis, Deborah H.",Posing Beauty: African American Images from the 1890s to the Present,2009,New York: W.W. Norton & Co.,,,,Photography,ISBN-10: 0393066967,ISBN-13: 9780393066968,,,,,,image/jpeg,,,
32,33,book,," Bey, Dawoud",Dawoud Bey: Seeing Deeply,2018,Austin: University of Texas Press,,,,Artist monograph Photography,ISBN-10: 1477317198,ISBN-13: 9781477317198,,,,,,image/jpeg,,,
33,34,book,E2," Brookman, Philip, ed.","Gordon Parks: The New Tide, Early Work, 1940-1950",2018," Washington, DC: National Gallery of Art; Pleasantville: The Gordon Parks Foundation; Göttingen: Steidl",,,,Artist monograph Exhibition catalogue Photography,ISBN-10: 3958294944,ISBN-13: 9783958294943,,,https://www.nga.gov/exhibitions/2018/gordon-parks-the-new-tide-1940-1950.html,,,image/jpeg,,,
34,35,book,E2," Kanjo, Kathryn",Jack Whitten: Five Decades of Painting,2015,San Diego: Museum of Contemporary Art San Diego,,,,Artist monograph Exhibition catalogue Painting,ISBN-10: 0934418748,ISBN-13: 9780934418744,,,https://mcasd.org/exhibitions/jack-whitten-five-decades-of-painting,,,image/jpeg,,,
35,36,book,E2," Jafa, Arthur",Arthur Jafa: Magnumb,2021,Humlebæk: Louisiana Museum of,,,,Artist monograph,,ISBN-13: 9788793659353,,,,,,image/jpeg,,,
36,,book,,,,,Modern Art,,,,Exhibition catalogue,ISBN-10: 8793659350,,,,https://louisiana.dk/en/exhibition/arthur-jafa/,,,image/jpeg,,,
37,37,book,E2," Spriggs, Edward S., ed.","Deliverance: The Art of Ben Jones, 1970-2008",2009,Jersey City: Jersey City Museum,,,,Artist monograph Exhibition catalogue Signed by the artist,ISBN-10: 0979113016,ISBN-13: 9780979113017,,,,,,image/jpeg,,,
38,38,book,A1," Willis, W. Bruce",The Adinkra Dictionary: A Visual Primer on the Language of Adinkra,1998," Washington, DC: The Pyramid Complex",,,,Reference Dictionary Symbols African culture,ISBN-10: 0966153200,ISBN-13: 9780966153200,,,,Adinkra Symbols As Alphabets & Their Hidden Meanings,,image/jpeg,,,
39,39,book,A1," Trotter, Joe William, Jr.","Coal, Class, and Color: Blacks in Southern West Virginia, 1915-32",1990,Urbana: University of Illinois Press,,,,Labor History African American History,ISBN-10: 0252061195,ISBN-13: 9780252061196,,,,,,image/jpeg,,,
40,40,book,A1," Trotter, Joe William, Jr.","Black Milwaukee: The Making of an Industrial Proletariat, 1915-45",2007,2nd ed. Urbana: University of Illinois Press,,,," Labor History Urban Studies African American History Reissue of the revision of Trotter's doctoral dissertation, University of",ISBN-10: 0252074106,ISBN-13: 9780252074103,,,,,,image/jpeg,,,
41,41,book,A1," Plass, Margaret Weber",African Miniatures: The Goldweights of the Ashanti,1967,London: Lund Humphries,,,,"Minnesota, 1985
African art",ISBN-10: 0853310009,ISBN-13: 9780853310006,,,,,,image/jpeg,,,
42,42,book,A1," Bank, Mirra",Anonymous Was a Woman: A Celebration in Words and Images of Traditional American Art and the Women Who Made It,1979,New York: St. Martin's Press,,,,Women artists American art Project began as a film and then became a book (see author's acknowledgments),ISBN-10: 0312041853,ISBN-13: 9780312041854,,,https://archive.org/details/anonymouswasawoman,,,image/jpeg,,,
43,43,book,A1," Walker, David F. and Marcus Kwame Anderson",The Black Panther Party: A Graphic Novel History,2021,Emeryville: Ten Speed Press,,,,Graphic novel,ISBN-10: 1984857703,ISBN-13: 9781984857705,,,,,,image/jpeg,,,
44,44,book,A1," Vergne, Philippe"," Heart of Darkness: Kai Althoff, Ellen Gallagher and Edgar Cleijne, Thomas Hirschhorn",2006,Minneapolis: Walker Art Center,,,,Exhibition catalogue,ISBN-10: 0935640851,ISBN-13: 9780935640854,,,https://walkerart.org/calendar/2006/heart-of-darkness-kai-althoff-ellen-gallagher,,,image/jpeg,,,
45,45,book,A1," Gibson, Ann Eden and Jorge Daniel Veneciano","Norman Lewis: Black Paintings, 1946-1977",1998,New York: Studio Museum in Harlem,,,,Artist monograph Exhibition catalogue Painting,ISBN-10: 0942949005,ISBN-13: 9780942949001,,,,,,image/jpeg,,,
46,46,book,A1," Hodges, Bill","Norman Lewis: A Painter's Odyssey, 1935- 1979",2009,New York: Bill Hodges Gallery,,,,Artist monograph Exhibition catalogue Painting,ISBN-10: 1891978268,ISBN-13: 9781891978265,,,,,,image/jpeg,,,
47,47,book,E2," Statler, Oliver",Modern Japanese Prints: An Art Reborn,1956,Rutland; Toyko: Charles E. Tuttle Co.,,,," Printmaking Woodcut print as frontispiece, Koshiro Onchi, Impression of a Violinist, p. iv",ISBN-10: 0804804060,ISBN-13: 9780804804066,,,,,,image/jpeg,,,
48,48,book,A1," Murase, Miyeko",Japanese Art: Selections from the Mary and Jackson Burke Collection,1975,New York: The Metropolitan Museum of Art,,,,Japanese art Asian art Exhibition catalogue,ISBN-10: 0870991388,ISBN-13: 9780870991387,,,https://www.metmuseum.org/art/metpublications/Japanese_Art_Selections_from_the_Mary_and_Jackson_Burke_Collection,,,image/jpeg,,,
49,49,book,A1," Quashie, Kevin Everod"," Black Women, Identity, and Cultural theory: (Un)Becoming the Subject",2004,New Brunswick: Rutgers University Press,,,,African American Studies,ISBN-10: 0813533678,ISBN-13: 9780813533674,,,,,,image/jpeg,,,
50,50,book,A1," Johnson, E. Patrick",Appropriating Blackness: Performance and the Politics of Authenticity,2003,Durham: Duke University Press,,,,African American Studies Performance,ISBN-10: 0822331918,ISBN-13: 9780822331919,,,,,,image/jpeg,,,
51,51,book,A1," Choi, Don Mee",DMZ Colony,2020,Seattle: Wave Books,,,,Poetry,ISBN-10: 194069695X,ISBN-13: 9781940696959,,,,,,image/jpeg,,,
52,52,book,A1," Jarrell, Wadsworth A.",AFRICOBRA: Experimental Art toward a School of Thought,2020,Durham: Duke University Press,,,,Black Arts Movement,ISBN-10: 1478000562,ISBN-13: 9781478000563,,,,,,image/jpeg,,,
53,53,book,A1," Shellman, Cecile"," Effective Diversity, Equity, Accessibility, Inclusion, and Anti-Racism Practices for Museums: From the Inside Out",2022,Lanham: Rowman & Littlefield,,,,Museum Practices,ISBN-10: 1538155990,ISBN-13: 9781538155998,,,,,,image/jpeg,,,
54,54,book,A1," Wilford, Adeze, ed.",Howardena Pindell: Rope/Fire/Water,2020,Cologne: Verlag der Buchhandlung Walther und Franz König,,,,Artist monograph Exhibition catalogue,ISBN-10: 3960988958,ISBN-13: 9783960988953,,,https://theshed.org/program/143-howardena-pindell-rope-fire-water,,,image/jpeg,,,
55,55,book,A1," Campt, Tina M.",A Black Gaze: Artists Changing How We See,2021,Cambridge: MIT Press,,,," Black Studies Visual Culture Contemporary art Included in Alma Lewis exhib. ""Abdul Aziz, Reclaiming Echoes""",ISBN-10: 0262045877,ISBN-13: 9780262045872,,English,https://www.youtube.com/watch?v=JUQUDevjg3o,Youtube video Alma Lewis website,,image/jpeg,,,
56,56,book,A1," Haynes, Lauren",Lynette Yiadom-Boakye: Any Number of Preoccupations,2011,New York: Studio Museum in Harlem,,,,Artist monograph Exhibition catalogue,ISBN-10: 0942949056,ISBN-13: 9780942949056,,,,,,image/jpeg,,,
57,57,book,A1," Choi, Don Mee",Hardly War,2016,Seattle: Wave Books,,,,Poetry,ISBN-10: 1940696216,ISBN-13: 9781940696218,,,,,,image/jpeg,,,
58,58,book,A1," Jackson, Zakiyyah Iman",Becoming Human: Matter and Meaning in an Antiblack World,2020,New York: New York University Press,,,,African American Studies,ISBN-10: 1479830372,ISBN-13: 9781479830374,,,,,,image/jpeg,,,
59,59,book,A1," Mohr, Richard D."," Pottery, Politics, Art: George Ohr and the Brothers Kirkpatrick",2003,Urbana: University of Illinois Press,,,,Ceramics,ISBN-10: 0252074653,ISBN-13: 9780252074653,,,,,,image/jpeg,,,
60,60,book,A1," Webster, Crystal Lynn",Beyond the Boundaries of Childhood: African American Children in the Antebellum North,2021,Chapel Hill: University of North Carolina Press,,,,African American History John Hope Franklin Series in African American History and Culture,ISBN-10: 1469663236,ISBN-13: 9781469663234,,,https://uncpress.org/series/john-hope-franklin-series-african-american-history-culture/,,,image/jpeg,,,
61,61,book,A1," Raboteau, Albert J."," Slave Religion: The ""Invisible Institution"" in the Antebellum South",2004,Updated ed. Oxford; New York: Oxford University Press,,,,African American History,ISBN-10: 0195174127,ISBN-13: 9780195174120,,,,,,image/jpeg,,,
62,62,book,A1," Patton, Sharon F.",African-American Art,1998,Oxford; New York: Oxford University Press,,,,Afican American Art History,ISBN-10: 0192842137,ISBN-13: 9780192842138,,,,,,image/jpeg,,,
63,63,book,A1," Powell, Richard J.",Black Art: A Cultural History,2002,2nd ed. London: Thames & Hudson,,,,African American Art Art History,ISBN-10: 0500203628,ISBN-13: 9780500203620,,,,,,image/jpeg,,,
64,64,book,A1," Cope, Suzanne",Power Hungry: Women of the Black Panther Party and Freedom Summer and Their Fight to Feed a Movement,2022,Chicago: Lawrence Hill Books,,,,African American History Civil Rights Movement,ISBN-10: 1641604522,ISBN-13: 9781641604529,,,https://www.youtube.com/watch?v=ADdWkPmSPCI,,,image/jpeg,,,
65,65,book,E2," Kamps, Toby and Steve Seid",Silence,2012,Houston: The Menil Collection; Berkeley: UC Berkeley Art Museum and Pacific Film Archive; New Haven:  Yale University Press,,,,Exhibition catalogue,ISBN-10: 0300179642,ISBN-13: 9780300179644,,,https://www.menil.org/exhibitions/24-silence,,,image/jpeg,,,
66,66,book,A1," Cook, Christopher",RubberMade: Sculpture by Chakia Booker,2008,Kansas City: Kemper Museum of Contemporary Art,,,,Artist monograph Exhibition catalogue Sculpture,ISBN-10: 189124616X,ISBN-13: 9781891246166,,,https://www.kemperart.org/exhibitions/rubbermade-sculpture-chakaia-booker,,,image/jpeg,,,
67,"67
Duplicate",book,A1," Archable-Frederick Traci, Jess
Bither, Ben Bjork, Ricardo Castro, Melissa Clasing, Bret Click, Alex Dicken, Kellen Johnson, Michael Jones, eds.",Guarding the Art,2022,Baltimore: Baltimore Museum of Art,,,,Exhibition catalogue,ISBN-10: 0578371065,ISBN-13: 9780578371061,,,https://artbma.org/exhibition/bma-security-officers-take-center-stage-as-guest-curators-of-a-new-exhibition-opening-in-march-2022/,,,image/jpeg,,,
68,68,book,E2,Weight Watchers," Homecoming: African, Caribbean, Southern Recipes that Celebrate Food Traditions across the Diaspora",2020,New York: W/W Twentyfirst Corp.,,,,Cookbook Cooking,,,,,,,,image/jpeg,,,
69,69,book,A1," Abani, Chris and Percival Everett",There Are No Names for Red: Poems,2010,Los Angeles: Red Hen Press,,,,Poetry Signed by the poet,ISBN-10: 1597094579,ISBN-13: 9781597094573,,,,,,image/jpeg,,,
